Currency,Current_Price,Old_Price,% inc or dec.
BowsCoin,$0.001643,$0.000143,1048.95104895105
Bullion,$1.43,$0.124874,1045.15431555007
GeertCoin,$0.005643,$0.000502,1024.10358565737
Wings,$0.282628,$0.025406,1012.44587892624
VapersCoin,$0.000066,$0.000006,1000
Burst,$0.018243,$0.001660,998.975903614458
Skeincoin,$0.034709,$0.003177,992.508655964747
Shift,$1.31,$0.121767,975.825141458688
Edgeless,$0.376639,$0.035534,959.939775989194
Syndicate,$0.204956,$0.019577,946.922408949277
Firecoin,$1.04,$0.099806,942.021521752199
Independent M...,$0.005201,$0.000510,919.803921568628
LuckChain,$0.003150,$0.000315,900
MojoCoin,$0.018081,$0.001814,896.747519294377
Kore,$1.79,$0.180146,893.638493222164
Bitcrystals,$0.178276,$0.018063,886.967834800421
PIECoin,$0.001972,$0.000202,876.237623762376
Crypto,$0.005653,$0.000591,856.514382402708
GlobalCoin,$0.003944,$0.000413,854.963680387409
Skycoin,$12.17,$1.29,843.410852713178
Unitus,$0.012622,$0.001338,843.348281016442
Golfcoin,$0.000197,$0.000021,838.095238095238
Scorecoin,$0.002498,$0.000269,828.624535315985
NodeCoin,$0.003221,$0.000349,822.922636103152
EOS,$10.09,$1.11,809.009009009009
Byteball Bytes,$129.50,$14.57,788.812628689087
KushCoin,$0.047272,$0.005379,778.825060420152
ChessCoin,$0.004740,$0.000540,777.777777777778
Musicoin,$0.007944,$0.000909,773.927392739274
Dent,$0.006027,$0.000704,756.107954545455
Zeitcoin,$0.000077,$0.000009,755.555555555556
Photon,$0.000051,$0.000006,750
Tattoocoin (S...,$0.002367,$0.000280,745.357142857143
Ethereum Classic,$13.60,$1.65,724.242424242424
X2,$0.000203,$0.000025,712
Cubits,$0.001972,$0.000248,695.161290322581
SunContract,$0.099024,$0.012472,693.97049390635
Nexium,$0.093975,$0.011902,689.573180977987
ColossusXT,$0.001563,$0.000199,685.427135678392
Piggycoin,$0.000870,$0.000111,683.783783783784
PotCoin,$0.083452,$0.010662,682.704933408366
Kurrent,$0.004567,$0.000588,676.700680272109
Rise,$0.072250,$0.009345,673.140716960942
Gas,$14.07,$1.83,668.852459016393
DopeCoin,$0.024031,$0.003126,668.746001279591
LiteDoge,$0.000069,$0.000009,666.666666666667
Smoke,$0.038890,$0.005081,665.400511710293
Cardano,$0.161910,$0.021347,658.467231929545
Creditbit,$0.105700,$0.013937,658.412857860372
Sequence,$0.099263,$0.013140,655.426179604262
XPA,$0.106240,$0.014243,645.91027171242
Pandacoin,$0.000096,$0.000013,638.461538461538
Viacoin,$1.34,$0.182356,634.826383557437
Dogecoin,$0.003080,$0.000422,629.857819905213
BridgeCoin,$1.23,$0.177068,594.64838367181
President Joh...,$0.036418,$0.005366,578.680581438688
Docademic,$0.169159,$0.024938,578.318229208437
Ixcoin,$0.101476,$0.015118,571.226352692155
Zetacoin,$0.004257,$0.000647,557.959814528593
TeslaCoin,$0.025112,$0.003837,554.469637737816
Bela,$0.034175,$0.005258,549.961962723469
Neutron,$0.078414,$0.012225,541.423312883436
Populous,$8.00,$1.27,529.92125984252
Condensate,$0.005985,$0.000984,508.231707317073
Rupee,$0.037602,$0.006191,507.365530608948
Atomic Coin,$0.012490,$0.002076,501.637764932563
CoffeeCoin,$0.002235,$0.000373,499.195710455764
Bitcurrency,$0.001118,$0.000189,491.534391534392
ParkByte,$0.024191,$0.004167,480.53755699544
SOILcoin,$0.015711,$0.002718,478.0353200883
Flaxscript,$0.007428,$0.001314,465.296803652968
FujiCoin,$0.000395,$0.000070,464.285714285714
SuperCoin,$0.003944,$0.000705,459.432624113475
Phore,$1.27,$0.227358,458.590416875588
ShellCoin,$0.018034,$0.003238,456.948733786288
Truckcoin,$0.002629,$0.000483,444.306418219462
Santiment Net...,$0.878186,$0.165379,431.014215831514
BlazeCoin,$0.000461,$0.000088,423.863636363636
Genesis Vision,$11.20,$2.14,423.364485981308
CannaCoin,$0.040231,$0.007733,420.250872882452
Clams,$2.55,$0.494445,415.729757607014
Swarm City,$0.767752,$0.152496,403.457139859406
Loopring,$0.369046,$0.073909,399.324845418014
Cyder,$0.001446,$0.000292,395.205479452055
MarxCoin,$0.001648,$0.000334,393.413173652695
Mao Zedong,$0.070339,$0.014410,388.126301179736
STEX,$0.883759,$0.181556,386.769371433607
Netko,$0.084893,$0.017579,382.922805620342
PX,$0.000959,$0.000200,379.5
Quatloo,$0.014528,$0.003062,374.461136512084
Bitgem,$5.68,$1.20,373.333333333333
ATMCoin,$4.10,$0.870137,371.190168904437
BioBar,$0.009861,$0.002130,362.957746478873
Ardor,$0.189797,$0.041206,360.605251662379
AmsterdamCoin,$0.002112,$0.000459,360.130718954248
Magi,$0.181014,$0.039691,356.058048424076
Primecoin,$1.43,$0.316382,351.985258326959
Expanse,$1.04,$0.230226,351.730039178894
Megacoin,$0.023960,$0.005330,349.53095684803
InPay,$0.095319,$0.021261,348.327924368562
Elixir,$0.199887,$0.044610,348.076664425017
LoMoCoin,$0.031420,$0.007099,342.597548950556
Waves,$3.63,$0.821715,341.759004034245
Allion,$0.010463,$0.002381,339.437211255775
Neblio,$5.09,$1.17,335.042735042735
Litecred,$0.000961,$0.000221,334.841628959276
StarCoin,$0.017528,$0.004032,334.722222222222
Enjin Coin,$0.081255,$0.018920,329.466173361522
Monoeci,$0.723336,$0.169359,327.102191203302
Prime-XI,$0.004983,$0.001181,321.930567315834
ICON,$1.99,$0.472352,321.295982657002
Substratum,$0.270683,$0.065046,316.140884912216
ALQO,$0.291221,$0.070411,313.601567936828
Hat.Exchange,$0.941279,$0.228438,312.050096743974
ION,$0.937145,$0.229078,309.09428229686
Ontology,$6.17,$1.51,308.609271523179
Guncoin,$0.001972,$0.000483,308.281573498965
NANJCOIN,$0.001441,$0.000354,307.062146892655
Synergy,$0.082102,$0.020295,304.542990884454
VectorAI,$0.001118,$0.000277,303.610108303249
Mithril,$0.371038,$0.092637,300.528946317346
GlobalBoost-Y,$0.012226,$0.003057,299.934576382074
Lympo,$0.090998,$0.023039,294.973740179695
DigitalPrice,$0.087634,$0.022379,291.590330220296
SecretCoin,$0.022499,$0.005754,291.014946124435
PlatinumBAR,$0.850181,$0.218226,289.587400218122
Revain,$0.348736,$0.090754,284.265156356745
OracleChain,$0.598469,$0.155895,283.892363449758
Peercoin,$1.49,$0.389696,282.349318443094
DECENT,$0.411560,$0.109589,275.54864083074
iXledger,$0.476398,$0.128068,271.988318705688
Bit20,"$379,599","$102,071",271.897012863595
Monaco,$5.20,$1.41,268.794326241135
FORCE,$0.014371,$0.003952,263.638663967611
Bitswift,$0.368129,$0.101385,263.100064112048
RChain,$1.00,$0.278714,258.790731717818
Motocoin,$0.015843,$0.004430,257.629796839729
Waltonchain,$8.74,$2.45,256.734693877551
Bytom,$0.522553,$0.147900,253.31507775524
Decentraland,$0.096754,$0.027388,253.27150576895
Bitstar,$0.006968,$0.001978,252.275025278059
VeriumReserve,$1.57,$0.448261,250.242381112789
Paypex,$0.816329,$0.234589,247.982641982361
Creatio,$0.001183,$0.000345,242.898550724638
BritCoin,$0.021036,$0.006157,241.659899301608
DigixDAO,$107.96,$31.66,240.998104864182
Smartlands,$1.88,$0.559700,235.894229051277
OBITS,$0.258059,$0.077801,231.691109368774
Vertcoin,$1.11,$0.335632,230.719359298279
Iconomi,$0.701216,$0.214538,226.849322730705
Pillar,$0.179471,$0.054979,226.435548118372
Hive Project,$0.044520,$0.013684,225.343466822566
iExec RLC,$1.06,$0.331809,219.460894671332
Loom Network,$0.244197,$0.077028,217.023679700888
DROXNE,$0.002695,$0.000853,215.943728018757
SpaceCoin,$0.006245,$0.001999,212.406203101551
Aeternity,$2.64,$0.845926,212.084035719436
SHACoin,$0.000592,$0.000190,211.578947368421
GoldPieces,$0.052650,$0.016939,210.821181887951
BiblePay,$0.002629,$0.000849,209.658421672556
Solarflarecoin,$0.007027,$0.002272,209.286971830986
Global Curren...,$0.076387,$0.024996,205.596895503281
Huobi Token,$4.45,$1.46,204.794520547945
TaaS,$2.61,$0.857594,204.339815810279
SixEleven,$0.265053,$0.087529,202.817351963349
Bubble,$0.003747,$0.001240,202.177419354839
Aricoin,$0.001380,$0.000459,200.653594771242
IOTA,$1.24,$0.414807,198.934203135434
Decision Token,$0.552963,$0.188576,193.230845918887
Atmos,$0.036221,$0.012497,189.837561014643
Aeron,$0.850249,$0.294639,188.573135260437
PrismChain,$0.001052,$0.000368,185.869565217391
BitConnect,$0.498339,$0.174661,185.317844281208
Cryptonex,$3.86,$1.36,183.823529411765
Steem,$1.75,$0.617597,183.356298686684
Bitcoin Plus,$33.77,$12.08,179.55298013245
Darcrus,$0.083605,$0.030369,175.2971780434
Dynamic,$1.30,$0.472754,174.984452802092
DeepOnion,$0.821022,$0.299632,174.010119079404
Veltor,$0.056600,$0.020961,170.025285053194
Fastcoin,$0.002761,$0.001034,167.021276595745
Aion,$1.59,$0.596772,166.433411755243
Lisk,$6.58,$2.51,162.151394422311
Diamond,$4.09,$1.57,160.509554140127
Banca,$0.001417,$0.000545,160
Storiqa,$0.008186,$0.003174,157.908002520479
Lunyr,$8.27,$3.21,157.632398753894
Donationcoin,$0.000986,$0.000388,154.123711340206
ZClassic,$9.98,$3.95,152.658227848101
Bitcoin Cash,$866.76,$344.23,151.796763791651
SpankChain,$0.103919,$0.041602,149.793279169271
Snovio,$0.011843,$0.004767,148.437172225718
Payfair,$0.035849,$0.014623,145.154892976817
ODEM,$0.231451,$0.094684,144.445735287905
Chronobank,$18.25,$7.54,142.042440318302
KuCoin Shares,$2.34,$0.969580,141.341611831927
Exchange Union,$5.38,$2.23,141.255605381166
E-coin,$7.33,$3.06,139.542483660131
LIFE,$0.000197,$0.000083,137.349397590361
Qtum,$11.16,$4.72,136.440677966102
ELTCOIN,$0.005828,$0.002477,135.284618490109
Switcheo,$0.023955,$0.010228,134.210011732499
BTCMoon,$0.003287,$0.001407,133.61762615494
Incent,$0.260007,$0.111764,132.639311406177
SingularDTV,$0.041203,$0.017882,130.416060843306
Litecoin Plus,$0.197212,$0.086351,128.384153049762
ZetaMicron,$0.000066,$0.000029,127.586206896552
Dynamic Tradi...,$0.042258,$0.018613,127.034868102939
Darsek,$0.007231,$0.003189,126.748196926936
Bitmark,$0.230015,$0.102223,125.012961857899
iTicoin,$11.89,$5.29,124.76370510397
Cycling Coin,$0.000823,$0.000367,124.25068119891
Tokes,$1.02,$0.457818,122.795958219205
Newbium,$0.006268,$0.002837,120.937610151569
Maker,$640.41,$296.13,116.259750785128
FoldingCoin,$0.008633,$0.003992,116.25751503006
IncaKoin,$0.000070,$0.000033,112.121212121212
Dollar Online,$0.014462,$0.006886,110.020331106593
Bitvolt,$0.000723,$0.000347,108.35734870317
Matchpool,$0.148753,$0.071570,107.842671510409
Dentacoin,$0.000451,$0.000219,105.936073059361
MinexCoin,$6.73,$3.27,105.810397553517
Wagerr,$0.188775,$0.092859,103.292088004394
Version,$0.002502,$0.001233,102.919708029197
Bibox Token,$1.39,$0.685467,102.78146139785
BnkToTheFuture,$0.154767,$0.076805,101.506412342946
NevaCoin,$0.046348,$0.023147,100.233291571262
Privatix,$3.68,$1.84,100
vSlice,$0.065803,$0.032991,99.4574277833349
0x,$0.867202,$0.436389,98.7222409364122
Bismuth,$1.59,$0.814505,95.2105880258562
RichCoin,$0.003616,$0.001854,95.0377562028048
SmartCash,$0.068550,$0.035247,94.4846369903822
Divi,$2.15,$1.11,93.6936936936937
Kin,$0.000153,$0.000079,93.6708860759494
300 Token,$533.00,$276.13,93.0250244450078
Universe,$0.028464,$0.014767,92.7541139026207
district0x,$0.039821,$0.020661,92.7351047867964
BABB,$0.001290,$0.000672,91.9642857142857
Mothership,$0.115290,$0.061110,88.659793814433
CVCoin,$0.644075,$0.341532,88.5840858250471
Theresa May Coin,$0.002652,$0.001408,88.3522727272727
ZIP,$0.004497,$0.002398,87.5312760633862
Hedge,$2.43,$1.30,86.9230769230769
Pesetacoin,$0.025576,$0.013705,86.6180226194819
Silent Notary,$0.000149,$0.000081,83.9506172839506
ZenCash,$17.20,$9.37,83.5645677694771
Status,$0.077234,$0.042327,82.4698183192761
Emerald Crypto,$0.008283,$0.004565,81.4457831325302
Swing,$0.039761,$0.021970,80.9786071916249
Mintcoin,$0.000197,$0.000109,80.7339449541285
Power Ledger,$0.258147,$0.142904,80.6436488831663
HEAT,$0.154483,$0.086105,79.4123453922536
e-Gulden,$0.076626,$0.042800,79.0327102803738
COSS,$0.123089,$0.069246,77.7561158767293
BOAT,$0.001183,$0.000667,77.3613193403298
Upfiring,$0.139301,$0.079093,76.1230450229477
EBCH,$0.092464,$0.052612,75.7469778757698
Tezos (Pre-La...,$4.17,$2.39,74.4769874476987
RevolverCoin,$0.005653,$0.003246,74.1528034504005
GoldBlocks,$0.010789,$0.006213,73.6520199581523
Pluton,$5.26,$3.03,73.5973597359736
Veritaseum,$71.07,$41.14,72.7515799708313
First Bitcoin...,$0.088022,$0.051278,71.656460860408
Delphy,$1.24,$0.723236,71.4516423408127
WaykiChain,$1.13,$0.663043,70.4263524386805
Consensus,$0.017429,$0.010241,70.188458158383
Cindicator,$0.040219,$0.023640,70.1311336717428
Internxt,$4.91,$2.89,69.8961937716263
Dignity,$0.103622,$0.061009,69.8470717435133
Nexty,$0.000385,$0.000227,69.6035242290749
LUXCoin,$5.92,$3.52,68.1818181818182
PayCon,$0.002997,$0.001782,68.1818181818182
Qbao,$0.343236,$0.205283,67.2013756618911
Request Network,$0.088690,$0.053384,66.1359208751686
VIBE,$0.101375,$0.062033,63.4210823271484
FlorinCoin,$0.060466,$0.037213,62.4862279310994
Halloween Coin,$0.000197,$0.000122,61.4754098360656
Happycoin,$0.032239,$0.020104,60.3611221647433
Bitcore,$2.19,$1.38,58.695652173913
Social Send,$0.093538,$0.059000,58.5389830508475
Coinonat,$0.005657,$0.003576,58.1935123042506
Wink,$0.000544,$0.000346,57.2254335260116
Titcoin,$0.003879,$0.002473,56.8540234532956
Aragon,$2.27,$1.46,55.4794520547945
ChainLink,$0.228657,$0.147440,55.0847802495931
Maecenas,$0.492523,$0.319557,54.1268067981612
TrezarCoin,$0.014324,$0.009305,53.9387426114992
ClubCoin,$0.283065,$0.184158,53.7076857915486
Elementrem,$0.016434,$0.010770,52.5905292479109
MindCoin,$0.002761,$0.001810,52.5414364640884
eBoost,$0.118722,$0.078232,51.7563145515901
FirstBlood,$0.180105,$0.119135,51.1772359088429
Vsync,$0.009400,$0.006221,51.1011091464395
DAPPSTER,$0.000394,$0.000261,50.9578544061303
iEthereum,$0.019949,$0.013254,50.5130526633469
Sterlingcoin,$0.056390,$0.037558,50.1411150753501
Callisto Network,$0.033375,$0.022260,49.9326145552561
iBank,$0.001512,$0.001013,49.2596248766041
Hydrogen,$0.002800,$0.001879,49.0154337413518
PayPie,$0.360182,$0.243249,48.0713178676994
Rialto,$0.124857,$0.084398,47.9383397710846
Humaniq,$0.097100,$0.065866,47.4205204506118
Peculium,$0.003191,$0.002184,46.1080586080586
ETHLend,$0.034054,$0.023471,45.0896851433684
AdEx,$0.406528,$0.281538,44.3954279706469
Etherparty,$0.041156,$0.028986,41.9857862416339
Californium,$0.020313,$0.014341,41.6428422006833
BROTHER,$0.000523,$0.000370,41.3513513513514
Coupecoin,$0.000068,$0.000049,38.7755102040816
Omicron,$0.103273,$0.074604,38.4282344110235
Nullex,$0.039456,$0.028546,38.2190149232817
Zero,$0.363527,$0.263850,37.777904112185
InflationCoin,$0.000011,$0.000008,37.5
IoTeX,$0.039574,$0.028891,36.976913225572
BlockMason Cr...,$0.193913,$0.141878,36.6758764572379
Databits,$0.339270,$0.248788,36.3691174815506
